"ng ","he "," th"," of","ed ","in "," an","the","on ","ing","of ","nd ","and"," in","er ","s a","as "," a ","is ","qualityClass"
45,96,144,72,83,64,64,96,32,44,63,64,58,74,35,43,29,34,36,5
20,106,107,37,52,35,47,77,36,26,30,36,40,43,28,12,35,21,5,5
38,131,148,60,45,36,54,139,90,57,67,44,44,62,33,43,22,36,71,5
45,80,87,42,48,56,43,99,15,49,57,38,51,43,45,18,40,28,30,5
5,24,31,15,10,5,8,18,3,5,7,7,8,8,4,4,5,3,0,5
30,115,169,86,45,21,29,116,23,31,73,18,20,41,37,19,19,42,27,5
22,49,60,16,31,18,18,33,16,14,12,29,19,30,13,12,9,9,11,5
8,33,31,9,23,5,13,26,12,11,12,6,4,17,9,6,6,4,1,5
18,64,67,13,27,22,27,73,25,11,16,43,22,33,20,15,14,19,6,5
19,60,65,39,68,23,33,72,9,32,30,42,35,32,38,15,42,13,20,5
30,129,150,58,64,39,60,134,41,41,40,57,59,46,46,20,35,31,10,5
97,285,261,167,152,106,146,285,98,89,191,168,165,149,68,72,57,44,33,5
22,83,75,23,44,11,33,70,29,17,22,28,34,26,34,18,23,10,10,5
51,127,123,33,77,23,47,112,50,63,38,57,51,30,40,20,30,26,17,5
73,284,288,142,136,102,140,258,46,82,129,141,122,117,66,73,68,56,66,5
12,17,16,4,13,10,8,20,13,5,6,6,9,9,10,6,4,1,4,5
22,98,81,52,57,34,48,81,19,27,38,43,45,40,24,17,40,19,30,5
10,20,28,8,11,7,7,14,5,5,9,7,6,9,5,3,8,7,7,5
3,16,30,8,27,9,11,17,3,8,11,8,8,20,13,4,8,8,6,5
10,28,24,15,16,6,15,22,4,8,12,8,8,7,4,5,5,9,5,5
61,141,164,38,82,34,69,128,30,67,58,59,73,68,28,27,35,29,12,5
7,13,18,6,21,7,11,23,14,9,10,9,6,14,7,4,14,9,2,5
182,452,475,209,303,210,227,466,130,171,199,245,259,254,126,77,98,93,13,5
13,25,34,6,16,10,21,34,7,16,7,18,22,10,13,11,5,16,10,5
37,81,83,23,44,16,46,78,10,45,23,46,42,30,31,19,20,21,15,5
24,78,84,51,29,29,53,61,16,30,43,44,40,42,36,16,12,25,22,5
34,106,111,34,52,35,54,103,31,29,33,43,54,49,34,21,36,12,12,5
15,55,32,33,45,34,30,53,18,17,25,36,36,22,20,21,23,12,27,5
7,28,23,17,18,13,24,24,9,7,9,9,14,24,10,9,7,9,7,5
20,60,57,28,21,16,24,44,12,22,17,28,26,22,12,14,21,12,7,5
21,39,46,12,19,18,17,45,20,15,15,21,17,34,8,12,14,11,6,5
57,204,204,129,96,81,112,178,65,61,105,97,96,102,58,52,37,39,23,5
9,64,50,34,32,30,36,56,12,20,26,51,42,31,18,20,22,18,16,5
23,48,58,21,25,19,14,53,9,10,15,31,16,19,31,12,13,9,7,5
83,328,315,194,137,115,156,298,68,84,149,149,160,183,75,72,92,40,53,5
9,30,40,18,26,8,18,42,21,8,30,14,16,18,9,20,14,6,13,5
8,9,13,1,9,11,10,7,4,7,3,9,5,12,7,8,3,5,3,5
34,87,101,31,52,29,31,75,32,44,20,33,24,30,31,10,21,22,15,5
39,114,136,79,79,51,65,107,24,75,64,58,99,64,35,33,41,36,65,5
12,48,38,20,15,9,19,29,14,10,21,15,10,14,8,7,10,6,4,5
42,157,178,99,90,61,59,163,37,43,79,57,66,70,43,28,50,33,15,5
15,24,24,8,24,10,15,22,8,13,9,27,24,10,5,4,9,10,4,5
28,94,92,24,54,17,40,65,20,32,30,30,36,30,26,19,27,24,24,5
31,127,145,84,47,43,54,108,36,34,62,67,101,50,31,26,21,27,23,5
26,69,80,40,23,13,31,56,12,34,23,23,21,28,13,16,27,17,10,5
21,53,61,33,17,7,34,39,13,42,31,34,42,21,13,18,15,5,15,5
15,44,34,15,23,15,17,42,21,16,16,18,17,16,9,6,13,7,16,5
21,78,78,42,38,22,33,70,13,21,34,27,17,24,24,11,24,16,2,5
2,15,15,11,8,2,8,8,3,1,4,9,4,3,7,1,6,3,2,5
13,87,80,23,30,26,30,57,16,21,25,20,18,41,19,10,13,20,22,5
52,172,171,87,81,70,76,162,91,57,70,76,82,91,44,51,52,32,29,5
23,55,69,26,24,25,38,67,13,27,26,29,33,29,25,22,12,13,16,5
19,55,60,45,28,13,26,66,24,26,55,18,26,26,22,10,15,14,29,5
9,88,78,28,35,16,18,79,12,14,34,16,10,24,23,12,16,8,9,5
35,79,89,36,67,24,30,86,19,35,39,25,42,55,39,10,27,26,9,5
2,22,18,12,13,3,7,13,4,9,9,4,7,11,2,2,6,4,1,5
22,75,87,53,55,35,42,56,21,35,41,49,53,49,20,25,24,23,9,5
24,72,73,35,32,27,32,72,17,38,44,51,42,42,11,21,14,13,3,5
4,33,34,11,12,11,10,36,14,10,20,7,12,17,7,6,2,9,14,5
8,20,14,7,3,5,16,17,4,5,3,6,11,8,8,6,4,9,7,5
7,14,28,8,9,3,3,20,2,3,8,1,4,6,5,7,1,2,0,5
44,132,158,89,71,35,68,153,39,38,71,68,84,37,31,33,47,37,31,5
26,55,74,41,34,23,36,63,22,23,31,31,27,22,15,23,19,23,5,5
22,34,30,14,34,13,23,46,14,20,12,28,30,17,13,4,18,16,6,5
14,40,37,10,24,14,17,38,14,15,9,13,13,7,10,9,13,10,4,4
6,24,30,5,12,5,7,25,14,3,3,6,6,9,1,2,4,0,1,4
46,204,177,68,35,44,56,138,51,57,77,60,56,56,38,28,31,40,34,4
8,18,21,8,22,5,16,20,3,8,8,13,12,11,6,7,7,5,4,4
75,203,162,90,87,82,79,193,56,67,100,109,109,77,43,47,41,33,26,4
29,55,86,40,40,29,46,80,20,38,46,45,41,39,24,19,24,7,17,4
14,42,44,24,28,18,26,43,9,15,11,17,15,12,14,15,7,9,26,4
49,71,97,42,78,38,55,89,34,54,45,35,61,55,12,33,25,17,22,4
11,27,29,15,17,10,24,36,19,9,18,24,33,22,15,9,9,12,14,4
36,36,45,23,31,13,35,39,12,53,23,27,25,22,18,19,6,8,22,4
48,86,105,42,42,31,59,87,18,52,32,45,45,53,20,39,32,15,19,4
42,116,136,50,63,20,46,104,11,31,42,40,41,37,20,17,8,24,27,4
3,16,7,5,5,1,3,4,1,0,1,2,1,3,8,3,3,5,0,4
85,210,256,155,110,53,125,232,79,104,147,89,108,95,50,27,42,56,62,4
39,95,142,52,42,33,44,124,36,43,63,50,40,47,31,33,20,31,21,4
28,131,167,57,83,50,74,144,33,31,67,53,48,88,33,28,41,16,11,4
12,16,11,7,17,7,7,9,9,11,4,8,12,8,6,4,9,4,2,4
67,156,189,71,130,43,97,153,48,75,67,59,62,76,68,42,58,51,45,4
53,127,175,60,91,58,69,135,52,48,52,50,51,66,57,27,37,17,29,4
47,133,197,80,97,51,97,180,41,42,97,83,114,63,38,20,22,28,38,4
28,39,45,17,22,14,18,44,9,39,20,20,23,13,14,7,9,24,8,4
41,100,137,46,47,57,65,141,44,57,52,64,51,42,34,41,38,22,27,4
9,37,48,24,23,17,22,46,27,10,27,26,22,19,28,17,17,25,12,4
20,56,127,48,55,31,50,86,27,40,40,43,47,48,23,32,23,22,23,4
141,349,456,172,201,91,169,396,142,148,167,114,108,188,133,101,73,173,97,4
5,18,21,21,12,6,6,13,4,3,5,8,7,13,3,1,5,3,1,4
13,77,80,41,39,18,30,64,21,24,38,61,29,21,10,22,14,30,22,4
26,52,56,35,31,21,33,49,15,36,32,32,23,33,18,30,18,15,23,4
9,25,19,16,15,12,15,23,9,9,14,4,6,7,2,3,5,2,8,4
35,144,141,66,36,27,59,141,23,48,70,53,54,45,34,26,14,44,49,4
69,132,187,97,75,139,76,170,59,69,67,73,45,102,35,35,26,27,49,4
33,160,167,79,61,49,87,158,47,43,75,64,87,73,45,36,43,30,41,4
38,103,144,92,125,88,98,116,47,56,91,95,81,92,51,48,54,27,53,4
37,101,113,53,40,47,38,101,42,27,59,46,51,60,69,25,13,12,20,4
10,28,21,6,26,10,15,31,10,7,10,13,12,16,12,4,11,10,2,4
18,60,71,47,41,22,22,66,19,21,33,21,25,30,18,15,18,17,15,4
12,43,50,14,32,7,24,41,15,12,15,26,21,13,12,8,11,6,11,4
25,52,48,23,60,27,48,59,20,21,42,22,28,24,21,16,25,14,10,4
100,214,261,111,166,83,150,233,74,133,126,131,113,130,79,64,96,92,83,4
68,85,154,49,72,66,73,127,35,77,39,84,72,97,37,53,23,36,35,4
17,67,56,12,20,24,21,45,20,22,10,34,41,25,22,17,10,7,22,4
