"he "," th"," of","ed "," an","the","of ","and"," in","qualityClass"
66,72,16,26,24,74,17,25,27,3
33,42,21,15,11,44,15,7,14,3
13,25,12,11,13,18,5,11,6,3
19,24,14,11,15,19,5,9,11,3
17,20,4,10,10,18,5,6,5,3
15,8,7,6,5,11,8,6,7,3
40,28,19,28,40,28,25,45,28,3
42,38,15,13,8,43,17,12,13,3
9,7,4,7,2,3,2,6,7,3
7,8,5,7,10,9,12,9,6,3
177,213,47,107,53,181,50,48,84,3
17,3,1,2,5,8,4,3,5,3
51,75,35,36,30,62,30,24,14,3
30,36,16,9,15,20,8,13,13,3
91,92,30,66,43,86,43,38,54,3
36,42,9,13,9,34,12,19,17,3
206,220,117,102,68,185,109,78,75,3
111,134,51,85,48,134,49,46,61,3
207,269,88,128,82,212,78,77,68,3
26,19,9,6,5,9,7,3,9,3
363,429,122,265,183,394,134,189,141,3
23,19,6,14,8,20,5,17,13,3
14,10,6,6,8,11,8,3,7,3
35,22,8,11,9,27,14,6,16,3
84,143,70,39,39,119,61,24,52,3
16,11,3,8,5,8,4,5,4,3
118,120,45,54,41,106,49,45,37,3
44,37,13,9,21,46,9,13,12,3
61,83,34,49,26,69,23,28,25,3
41,57,22,20,13,43,14,17,13,3
25,19,16,13,13,30,15,11,8,3
29,39,13,7,19,29,8,13,14,3
51,66,21,27,22,47,28,15,31,3
12,19,7,4,6,9,6,6,10,3
30,35,9,11,11,30,9,16,5,3
101,140,67,42,45,105,58,56,36,3
40,19,10,19,10,19,13,15,9,3
13,20,16,22,8,25,17,8,13,3
25,28,9,22,12,20,7,10,15,3
213,274,93,140,141,224,94,105,124,3
43,41,25,12,10,39,27,9,13,3
21,21,4,8,9,18,7,10,7,3
104,133,57,47,47,82,54,51,42,3
11,19,8,9,9,18,6,6,8,3
1,0,1,1,0,2,0,2,0,3
13,11,3,4,5,7,3,5,3,3
13,20,11,12,6,8,5,4,6,3
44,42,10,25,20,48,17,21,24,3
177,210,111,90,87,198,92,70,63,3
63,58,25,20,25,58,23,18,20,3
345,480,289,210,206,398,231,210,216,3
81,97,26,33,32,79,25,34,24,3
66,51,31,41,40,45,26,28,29,3
62,86,47,39,29,74,41,31,28,3
21,18,10,17,20,27,17,19,9,3
89,100,55,28,41,91,43,32,30,3
18,31,12,11,12,13,19,16,12,3
64,63,34,39,17,75,47,27,17,3
23,30,6,9,10,19,6,11,10,3
72,81,53,50,27,84,29,35,29,3
14,22,14,14,6,17,6,9,10,3
23,17,6,9,9,19,3,10,12,3
80,86,41,29,29,82,40,27,26,3
345,397,161,292,158,383,163,165,162,3
107,108,58,59,69,108,63,66,52,3
17,9,7,7,8,19,5,5,4,3
16,18,4,5,6,23,2,7,2,3
337,370,97,174,112,331,89,113,142,3
31,30,23,24,15,45,22,10,18,2
16,6,2,6,2,12,4,7,6,2
3,0,0,2,1,0,0,1,0,2
3,2,2,2,3,3,1,0,3,2
2,7,8,6,2,6,4,4,4,2
18,13,9,9,9,16,8,6,7,2
6,5,0,4,3,4,1,2,2,2
27,22,9,6,16,25,8,15,10,2
4,2,3,2,2,4,3,0,1,2
14,8,4,4,6,5,2,3,1,2
13,2,4,5,3,6,2,3,1,2
4,12,4,9,4,7,3,4,1,2
48,48,10,19,12,34,15,26,15,2
15,15,6,3,8,8,3,2,5,2
18,31,8,10,9,28,11,12,19,2
20,33,10,4,19,19,6,15,7,2
1,3,2,1,1,2,0,2,1,2
23,23,13,17,16,23,13,13,13,2
2,5,3,4,5,4,2,1,1,2
10,9,7,1,7,6,4,2,12,2
0,2,0,2,0,3,1,2,3,2
2,0,0,2,2,0,0,0,2,2
24,14,9,15,13,12,5,9,7,2
14,12,7,3,5,5,0,5,5,2
2,0,2,2,0,1,1,1,0,2
19,12,9,9,10,16,6,10,9,2
19,8,12,8,5,9,8,10,8,2
41,40,13,18,17,44,11,16,9,2
16,16,9,17,14,21,7,15,18,2
5,7,1,2,3,8,0,1,0,2
7,10,5,10,5,6,3,7,7,2
0,4,1,1,3,0,2,0,2,2
13,14,8,8,7,17,14,6,11,2
18,18,9,15,10,20,11,9,14,2
17,8,7,7,6,11,3,5,2,2
53,49,14,37,25,36,19,38,26,2
10,6,7,7,11,4,2,7,3,2
18,22,10,12,4,21,8,8,12,2
